folder,inner_folder,method,R,triplet-score
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD, 7,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP, 7,140
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV, 7,140
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG, 8,161
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND, 8,137
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD, 8,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP, 8,137
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV, 8,137
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG, 9,165
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND, 9,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD, 9,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP, 9,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV, 9,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG, 10,161
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND, 10,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD, 10,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP, 10,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV, 10,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG, 11,165
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND, 11,137
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD, 11,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP, 11,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV, 11,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG, 12,164
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND, 12,136
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD, 12,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP, 12,140
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV, 12,140
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG, 13,165
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND, 13,130
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD, 13,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP, 13,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV, 13,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG, 14,161
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND, 14,140
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD, 14,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP, 14,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV, 14,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG, 15,165
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND, 15,136
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD, 15,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP, 15,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV, 15,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG, 16,164
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND, 16,129
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD, 16,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP, 16,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV, 16,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG, 17,165
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND, 17,136
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD, 17,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP, 17,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV, 17,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG, 18,164
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND, 18,140
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD, 18,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP, 18,140
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV, 18,140
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG, 19,165
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND, 19,137
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD, 19,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP, 19,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV, 19,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG, 20,165
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND, 20,129
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD, 20,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP, 20,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV, 20,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG, 1,160
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND, 1,136
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD, 1,
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP, 1,136
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV, 1,136
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG, 2,165
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND, 2,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD, 2,
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP, 2,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV, 2,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG, 3,165
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND, 3,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD, 3,
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP, 3,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV, 3,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG, 4,165
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND, 4,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD, 4,
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP, 4,140
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV, 4,140
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG, 5,165
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND, 5,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD, 5,
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP, 5,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV, 5,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG, 6,165
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND, 6,140
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD, 6,
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP, 6,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV, 6,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG, 7,164
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND, 7,140
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD, 7,
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP, 7,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV, 7,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG, 8,165
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND, 8,140
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD, 8,
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP, 8,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV, 8,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG, 9,165
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND, 9,137
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD, 9,
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP, 9,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV, 9,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG, 10,161
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND, 10,137
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD, 10,
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP, 10,137
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV, 10,137
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG, 11,165
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND, 11,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD, 11,
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP, 11,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV, 11,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG, 12,164
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND, 12,136
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD, 12,
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP, 12,140
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV, 12,140
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG, 13,164
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND, 13,140
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD, 13,
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP, 13,140
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV, 13,140
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG, 14,165
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND, 14,140
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD, 14,
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP, 14,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV, 14,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG, 15,165
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND, 15,137
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD, 15,
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP, 15,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV, 15,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG, 16,160
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND, 16,128
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD, 16,
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP, 16,140
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV, 16,140
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG, 17,165
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND, 17,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD, 17,
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP, 17,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV, 17,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG, 18,165
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND, 18,137
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD, 18,
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP, 18,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV, 18,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG, 19,165
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND, 19,129
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD, 19,
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP, 19,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV, 19,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG, 20,165
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND, 20,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD, 20,
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP, 20,141
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV, 20,141
15-taxon,100gene-100bp/estimated-genetrees,OG, 1,398
15-taxon,100gene-100bp/estimated-genetrees,RAND, 1,216
15-taxon,100gene-100bp/estimated-genetrees,RD, 1,
15-taxon,100gene-100bp/estimated-genetrees,MP, 1,398
15-taxon,100gene-100bp/estimated-genetrees,MV, 1,398
15-taxon,100gene-100bp/estimated-genetrees,OG, 2,400
15-taxon,100gene-100bp/estimated-genetrees,RAND, 2,261
15-taxon,100gene-100bp/estimated-genetrees,RD, 2,
15-taxon,100gene-100bp/estimated-genetrees,MP, 2,400
15-taxon,100gene-100bp/estimated-genetrees,MV, 2,400
15-taxon,100gene-100bp/estimated-genetrees,OG, 3,348
15-taxon,100gene-100bp/estimated-genetrees,RAND, 3,259
15-taxon,100gene-100bp/estimated-genetrees,RD, 3,347
15-taxon,100gene-100bp/estimated-genetrees,MP, 3,348
15-taxon,100gene-100bp/estimated-genetrees,MV, 3,348
15-taxon,100gene-100bp/estimated-genetrees,OG, 4,430
15-taxon,100gene-100bp/estimated-genetrees,RAND, 4,163
15-taxon,100gene-100bp/estimated-genetrees,RD, 4,370
15-taxon,100gene-100bp/estimated-genetrees,MP, 4,430
15-taxon,100gene-100bp/estimated-genetrees,MV, 4,430
15-taxon,100gene-100bp/estimated-genetrees,OG, 5,313
15-taxon,100gene-100bp/estimated-genetrees,RAND, 5,190
15-taxon,100gene-100bp/estimated-genetrees,RD, 5,319
15-taxon,100gene-100bp/estimated-genetrees,MP, 5,313
15-taxon,100gene-100bp/estimated-genetrees,MV, 5,313
15-taxon,100gene-100bp/estimated-genetrees,OG, 6,421
15-taxon,100gene-100bp/estimated-genetrees,RAND, 6,279
15-taxon,100gene-100bp/estimated-genetrees,RD, 6,344
15-taxon,100gene-100bp/estimated-genetrees,MP, 6,421
15-taxon,100gene-100bp/estimated-genetrees,MV, 6,421
15-taxon,100gene-100bp/estimated-genetrees,OG, 7,378
15-taxon,100gene-100bp/estimated-genetrees,RAND, 7,162
15-taxon,100gene-100bp/estimated-genetrees,RD, 7,384
15-taxon,100gene-100bp/estimated-genetrees,MP, 7,378
15-taxon,100gene-100bp/estimated-genetrees,MV, 7,378
15-taxon,100gene-100bp/estimated-genetrees,OG, 8,274
15-taxon,100gene-100bp/estimated-genetrees,RAND, 8,224
15-taxon,100gene-100bp/estimated-genetrees,RD, 8,314
15-taxon,100gene-100bp/estimated-genetrees,MP, 8,274
15-taxon,100gene-100bp/estimated-genetrees,MV, 8,274
15-taxon,100gene-100bp/estimated-genetrees,OG, 9,382
15-taxon,100gene-100bp/estimated-genetrees,RAND, 9,165
15-taxon,100gene-100bp/estimated-genetrees,RD, 9,310
15-taxon,100gene-100bp/estimated-genetrees,MP, 9,382
15-taxon,100gene-100bp/estimated-genetrees,MV, 9,382
15-taxon,100gene-100bp/estimated-genetrees,OG, 10,384
15-taxon,100gene-100bp/estimated-genetrees,RAND, 10,222
15-taxon,100gene-100bp/estimated-genetrees,RD, 10,321
15-taxon,100gene-100bp/estimated-genetrees,MP, 10,384
15-taxon,100gene-100bp/estimated-genetrees,MV, 10,384
15-taxon,100gene-1000bp/estimated-genetrees,OG, 1,433
15-taxon,100gene-1000bp/estimated-genetrees,RAND, 1,250
15-taxon,100gene-1000bp/estimated-genetrees,RD, 1,304
15-taxon,100gene-1000bp/estimated-genetrees,MP, 1,433
15-taxon,100gene-1000bp/estimated-genetrees,MV, 1,433
15-taxon,100gene-1000bp/estimated-genetrees,OG, 2,394
15-taxon,100gene-1000bp/estimated-genetrees,RAND, 2,164
15-taxon,100gene-1000bp/estimated-genetrees,RD, 2,311
15-taxon,100gene-1000bp/estimated-genetrees,MP, 2,394
15-taxon,100gene-1000bp/estimated-genetrees,MV, 2,394
15-taxon,100gene-1000bp/estimated-genetrees,OG, 3,434
15-taxon,100gene-1000bp/estimated-genetrees,RAND, 3,279
15-taxon,100gene-1000bp/estimated-genetrees,RD, 3,298
15-taxon,100gene-1000bp/estimated-genetrees,MP, 3,434
15-taxon,100gene-1000bp/estimated-genetrees,MV, 3,434
15-taxon,100gene-1000bp/estimated-genetrees,OG, 4,443
15-taxon,100gene-1000bp/estimated-genetrees,RAND, 4,158
15-taxon,100gene-1000bp/estimated-genetrees,RD, 4,346
15-taxon,100gene-1000bp/estimated-genetrees,MP, 4,443
15-taxon,100gene-1000bp/estimated-genetrees,MV, 4,443
15-taxon,100gene-1000bp/estimated-genetrees,OG, 5,455
15-taxon,100gene-1000bp/estimated-genetrees,RAND, 5,210
15-taxon,100gene-1000bp/estimated-genetrees,RD, 5,385
15-taxon,100gene-1000bp/estimated-genetrees,MP, 5,455
15-taxon,100gene-1000bp/estimated-genetrees,MV, 5,455
15-taxon,100gene-1000bp/estimated-genetrees,OG, 6,455
15-taxon,100gene-1000bp/estimated-genetrees,RAND, 6,250
15-taxon,100gene-1000bp/estimated-genetrees,RD, 6,346
15-taxon,100gene-1000bp/estimated-genetrees,MP, 6,455
15-taxon,100gene-1000bp/estimated-genetrees,MV, 6,455
15-taxon,100gene-1000bp/estimated-genetrees,OG, 7,444
15-taxon,100gene-1000bp/estimated-genetrees,RAND, 7,201
15-taxon,100gene-1000bp/estimated-genetrees,RD, 7,346
15-taxon,100gene-1000bp/estimated-genetrees,MP, 7,444
15-taxon,100gene-1000bp/estimated-genetrees,MV, 7,444
15-taxon,100gene-1000bp/estimated-genetrees,OG, 8,422
15-taxon,100gene-1000bp/estimated-genetrees,RAND, 8,299
15-taxon,100gene-1000bp/estimated-genetrees,RD, 8,347
15-taxon,100gene-1000bp/estimated-genetrees,MP, 8,422
15-taxon,100gene-1000bp/estimated-genetrees,MV, 8,422
15-taxon,100gene-1000bp/estimated-genetrees,OG, 9,445
15-taxon,100gene-1000bp/estimated-genetrees,RAND, 9,245
15-taxon,100gene-1000bp/estimated-genetrees,RD, 9,353
15-taxon,100gene-1000bp/estimated-genetrees,MP, 9,445
15-taxon,100gene-1000bp/estimated-genetrees,MV, 9,445
15-taxon,100gene-1000bp/estimated-genetrees,OG, 10,455
15-taxon,100gene-1000bp/estimated-genetrees,RAND, 10,257
15-taxon,100gene-1000bp/estimated-genetrees,RD, 10,349
15-taxon,100gene-1000bp/estimated-genetrees,MP, 10,455
15-taxon,100gene-1000bp/estimated-genetrees,MV, 10,455
15-taxon,100gene-true,OG, 1,455
15-taxon,100gene-true,RAND, 1,169
15-taxon,100gene-true,MP, 1,300
15-taxon,100gene-true,MV, 1,252
15-taxon,100gene-true,OG, 2,455
15-taxon,100gene-true,RAND, 2,244
15-taxon,100gene-true,MP, 2,300
15-taxon,100gene-true,MV, 2,252
15-taxon,100gene-true,OG, 3,455
15-taxon,100gene-true,RAND, 3,282
15-taxon,100gene-true,MP, 3,301
15-taxon,100gene-true,MV, 3,301
15-taxon,100gene-true,OG, 4,455
15-taxon,100gene-true,RAND, 4,237
15-taxon,100gene-true,MP, 4,257
15-taxon,100gene-true,MV, 4,252
15-taxon,100gene-true,OG, 5,455
15-taxon,100gene-true,RAND, 5,209
15-taxon,100gene-true,MP, 5,300
15-taxon,100gene-true,MV, 5,252
15-taxon,100gene-true,OG, 6,455
15-taxon,100gene-true,RAND, 6,252
15-taxon,100gene-true,MP, 6,300
15-taxon,100gene-true,MV, 6,252
15-taxon,100gene-true,OG, 7,455
15-taxon,100gene-true,RAND, 7,257
15-taxon,100gene-true,MP, 7,293
15-taxon,100gene-true,MV, 7,257
15-taxon,100gene-true,OG, 8,455
15-taxon,100gene-true,RAND, 8,162
15-taxon,100gene-true,MP, 8,300
15-taxon,100gene-true,MV, 8,300
15-taxon,100gene-true,OG, 9,455
15-taxon,100gene-true,RAND, 9,199
15-taxon,100gene-true,MP, 9,300
15-taxon,100gene-true,MV, 9,252
15-taxon,100gene-true,OG, 10,455
15-taxon,100gene-true,RAND, 10,158
15-taxon,100gene-true,MP, 10,300
15-taxon,100gene-true,MV, 10,252
15-taxon,1000gene-100bp/estimated-genetrees,OG, 1,349
15-taxon,1000gene-100bp/estimated-genetrees,RAND, 1,215
15-taxon,1000gene-100bp/estimated-genetrees,RD, 1,319
15-taxon,1000gene-100bp/estimated-genetrees,MP, 1,349
15-taxon,1000gene-100bp/estimated-genetrees,MV, 1,349
15-taxon,1000gene-100bp/estimated-genetrees,OG, 2,385
15-taxon,1000gene-100bp/estimated-genetrees,RAND, 2,213
15-taxon,1000gene-100bp/estimated-genetrees,RD, 2,355
15-taxon,1000gene-100bp/estimated-genetrees,MP, 2,385
15-taxon,1000gene-100bp/estimated-genetrees,MV, 2,385
15-taxon,1000gene-100bp/estimated-genetrees,OG, 3,383
15-taxon,1000gene-100bp/estimated-genetrees,RAND, 3,210
15-taxon,1000gene-100bp/estimated-genetrees,RD, 3,355
15-taxon,1000gene-100bp/estimated-genetrees,MP, 3,383
15-taxon,1000gene-100bp/estimated-genetrees,MV, 3,383
15-taxon,1000gene-100bp/estimated-genetrees,OG, 4,385
15-taxon,1000gene-100bp/estimated-genetrees,RAND, 4,219
15-taxon,1000gene-100bp/estimated-genetrees,RD, 4,348
15-taxon,1000gene-100bp/estimated-genetrees,MP, 4,385
15-taxon,1000gene-100bp/estimated-genetrees,MV, 4,385
15-taxon,1000gene-100bp/estimated-genetrees,OG, 5,385
15-taxon,1000gene-100bp/estimated-genetrees,RAND, 5,215
15-taxon,1000gene-100bp/estimated-genetrees,RD, 5,355
15-taxon,1000gene-100bp/estimated-genetrees,MP, 5,385
15-taxon,1000gene-100bp/estimated-genetrees,MV, 5,385
15-taxon,1000gene-100bp/estimated-genetrees,OG, 6,386
15-taxon,1000gene-100bp/estimated-genetrees,RAND, 6,209
15-taxon,1000gene-100bp/estimated-genetrees,RD, 6,310
15-taxon,1000gene-100bp/estimated-genetrees,MP, 6,386
15-taxon,1000gene-100bp/estimated-genetrees,MV, 6,386
15-taxon,1000gene-100bp/estimated-genetrees,OG, 7,391
15-taxon,1000gene-100bp/estimated-genetrees,RAND, 7,207
15-taxon,1000gene-100bp/estimated-genetrees,RD, 7,348
15-taxon,1000gene-100bp/estimated-genetrees,MP, 7,391
15-taxon,1000gene-100bp/estimated-genetrees,MV, 7,391
15-taxon,1000gene-100bp/estimated-genetrees,OG, 8,398
15-taxon,1000gene-100bp/estimated-genetrees,RAND, 8,210
15-taxon,1000gene-100bp/estimated-genetrees,RD, 8,356
15-taxon,1000gene-100bp/estimated-genetrees,MP, 8,398
15-taxon,1000gene-100bp/estimated-genetrees,MV, 8,398
15-taxon,1000gene-100bp/estimated-genetrees,OG, 9,387
15-taxon,1000gene-100bp/estimated-genetrees,RAND, 9,219
15-taxon,1000gene-100bp/estimated-genetrees,RD, 9,355
15-taxon,1000gene-100bp/estimated-genetrees,MP, 9,387
15-taxon,1000gene-100bp/estimated-genetrees,MV, 9,387
15-taxon,1000gene-100bp/estimated-genetrees,OG, 10,421
15-taxon,1000gene-100bp/estimated-genetrees,RAND, 10,214
15-taxon,1000gene-100bp/estimated-genetrees,RD, 10,348
15-taxon,1000gene-100bp/estimated-genetrees,MP, 10,421
15-taxon,1000gene-100bp/estimated-genetrees,MV, 10,421
15-taxon,1000gene-1000bp/estimated-genetrees,OG, 1,455
15-taxon,1000gene-1000bp/estimated-genetrees,RAND, 1,204
15-taxon,1000gene-1000bp/estimated-genetrees,RD, 1,346
15-taxon,1000gene-1000bp/estimated-genetrees,MP, 1,455
15-taxon,1000gene-1000bp/estimated-genetrees,MV, 1,455
15-taxon,1000gene-1000bp/estimated-genetrees,OG, 2,455
15-taxon,1000gene-1000bp/estimated-genetrees,RAND, 2,209
15-taxon,1000gene-1000bp/estimated-genetrees,RD, 2,346
15-taxon,1000gene-1000bp/estimated-genetrees,MP, 2,455
15-taxon,1000gene-1000bp/estimated-genetrees,MV, 2,455
15-taxon,1000gene-1000bp/estimated-genetrees,OG, 3,443
15-taxon,1000gene-1000bp/estimated-genetrees,RAND, 3,247
15-taxon,1000gene-1000bp/estimated-genetrees,RD, 3,348
15-taxon,1000gene-1000bp/estimated-genetrees,MP, 3,443
15-taxon,1000gene-1000bp/estimated-genetrees,MV, 3,443
15-taxon,1000gene-1000bp/estimated-genetrees,OG, 4,443
15-taxon,1000gene-1000bp/estimated-genetrees,RAND, 4,210
15-taxon,1000gene-1000bp/estimated-genetrees,RD, 4,346
15-taxon,1000gene-1000bp/estimated-genetrees,MP, 4,443
15-taxon,1000gene-1000bp/estimated-genetrees,MV, 4,443
15-taxon,1000gene-1000bp/estimated-genetrees,OG, 5,455
15-taxon,1000gene-1000bp/estimated-genetrees,RAND, 5,205
15-taxon,1000gene-1000bp/estimated-genetrees,RD, 5,305
15-taxon,1000gene-1000bp/estimated-genetrees,MP, 5,455
15-taxon,1000gene-1000bp/estimated-genetrees,MV, 5,455
15-taxon,1000gene-1000bp/estimated-genetrees,OG, 6,455
15-taxon,1000gene-1000bp/estimated-genetrees,RAND, 6,247
15-taxon,1000gene-1000bp/estimated-genetrees,RD, 6,345
15-taxon,1000gene-1000bp/estimated-genetrees,MP, 6,455
15-taxon,1000gene-1000bp/estimated-genetrees,MV, 6,455
15-taxon,1000gene-1000bp/estimated-genetrees,OG, 7,443
15-taxon,1000gene-1000bp/estimated-genetrees,RAND, 7,210
15-taxon,1000gene-1000bp/estimated-genetrees,RD, 7,346
15-taxon,1000gene-1000bp/estimated-genetrees,MP, 7,443
15-taxon,1000gene-1000bp/estimated-genetrees,MV, 7,443
15-taxon,1000gene-1000bp/estimated-genetrees,OG, 8,455
15-taxon,1000gene-1000bp/estimated-genetrees,RAND, 8,203
15-taxon,1000gene-1000bp/estimated-genetrees,RD, 8,346
15-taxon,1000gene-1000bp/estimated-genetrees,MP, 8,455
15-taxon,1000gene-1000bp/estimated-genetrees,MV, 8,455
